titleType,averageRating,numVotes,movie,tvMiniSeries,tvMovie,tvSeries
tvSeries,7.1,11928.0,0.0,0.0,0.0,1.0
tvMiniSeries,8.3,7821.0,0.0,1.0,0.0,0.0
movie,6.5,60015.0,1.0,0.0,0.0,0.0
movie,8.2,77167.0,1.0,0.0,0.0,0.0
movie,7.3,16145.0,1.0,0.0,0.0,0.0
movie,7.1,8093.0,1.0,0.0,0.0,0.0
movie,7.0,47004.0,1.0,0.0,0.0,0.0
movie,6.5,7886.0,1.0,0.0,0.0,0.0
movie,7.4,3467.0,1.0,0.0,0.0,0.0
movie,8.1,8464.0,1.0,0.0,0.0,0.0
movie,7.1,28689.0,1.0,0.0,0.0,0.0
movie,6.9,7382.0,1.0,0.0,0.0,0.0
movie,6.5,113810.0,1.0,0.0,0.0,0.0
movie,6.5,5427.0,1.0,0.0,0.0,0.0
tvSeries,7.0,7663.0,0.0,0.0,0.0,1.0
movie,6.6,12950.0,1.0,0.0,0.0,0.0
movie,6.6,5950.0,1.0,0.0,0.0,0.0
tvSeries,8.1,15346.0,0.0,0.0,0.0,1.0
movie,6.7,7394.0,1.0,0.0,0.0,0.0
movie,7.1,4502.0,1.0,0.0,0.0,0.0
movie,7.4,8998.0,1.0,0.0,0.0,0.0
movie,7.0,9775.0,1.0,0.0,0.0,0.0
tvSeries,8.2,6793.0,0.0,0.0,0.0,1.0
tvSeries,7.5,45174.0,0.0,0.0,0.0,1.0
movie,6.9,4397.0,1.0,0.0,0.0,0.0
tvSeries,7.8,7409.0,0.0,0.0,0.0,1.0
movie,6.5,15365.0,1.0,0.0,0.0,0.0
tvSeries,6.5,24362.0,0.0,0.0,0.0,1.0
tvSeries,6.8,13554.0,0.0,0.0,0.0,1.0
tvSeries,7.4,3274.0,0.0,0.0,0.0,1.0
movie,6.5,81679.0,1.0,0.0,0.0,0.0
movie,6.6,19838.0,1.0,0.0,0.0,0.0
movie,6.7,111756.0,1.0,0.0,0.0,0.0
movie,7.7,92434.0,1.0,0.0,0.0,0.0
movie,6.6,5012.0,1.0,0.0,0.0,0.0
tvSeries,6.6,4326.0,0.0,0.0,0.0,1.0
tvSeries,8.1,17701.0,0.0,0.0,0.0,1.0
tvSeries,7.3,3120.0,0.0,0.0,0.0,1.0
movie,6.6,9114.0,1.0,0.0,0.0,0.0
tvSeries,8.1,17345.0,0.0,0.0,0.0,1.0
movie,6.8,16129.0,1.0,0.0,0.0,0.0
movie,7.0,6129.0,1.0,0.0,0.0,0.0
tvSeries,8.0,3014.0,0.0,0.0,0.0,1.0
tvSeries,8.0,7813.0,0.0,0.0,0.0,1.0
movie,6.6,6955.0,1.0,0.0,0.0,0.0
tvSeries,8.3,53855.0,0.0,0.0,0.0,1.0
movie,6.6,12356.0,1.0,0.0,0.0,0.0
tvSeries,8.3,33459.0,0.0,0.0,0.0,1.0
movie,7.4,5684.0,1.0,0.0,0.0,0.0
movie,6.7,40449.0,1.0,0.0,0.0,0.0
movie,6.5,20605.0,1.0,0.0,0.0,0.0
movie,7.7,24497.0,1.0,0.0,0.0,0.0
tvSeries,8.0,3197.0,0.0,0.0,0.0,1.0
movie,7.7,15827.0,1.0,0.0,0.0,0.0
movie,6.9,31077.0,1.0,0.0,0.0,0.0
tvMiniSeries,8.6,3033.0,0.0,1.0,0.0,0.0
movie,7.0,3925.0,1.0,0.0,0.0,0.0
tvSeries,8.5,51076.0,0.0,0.0,0.0,1.0
tvSeries,7.5,22149.0,0.0,0.0,0.0,1.0
movie,7.5,5777.0,1.0,0.0,0.0,0.0
movie,7.2,104301.0,1.0,0.0,0.0,0.0
movie,6.7,84781.0,1.0,0.0,0.0,0.0
tvSeries,8.0,5323.0,0.0,0.0,0.0,1.0
movie,7.0,15385.0,1.0,0.0,0.0,0.0
movie,6.7,16032.0,1.0,0.0,0.0,0.0
tvSeries,7.2,13334.0,0.0,0.0,0.0,1.0
tvSeries,7.4,74916.0,0.0,0.0,0.0,1.0
